ConstituentID,FirstName,LastName,NameType,NameTitle,Suffix
2,George Manuel,Aarons,Birth or Maiden Name,<null>,<null>
2,George M.,Aarons,Variant Name,<null>,<null>
3,E. A.,Abbey,Variant Name,<null>,<null>
6,Mary Lee,Abbott,Variant Name,<null>,<null>
7,Sigmund M.,Abeles,Variant Name,<null>,<null>
7,Sigmund Morton,Abeles,Birth or Maiden Name,<null>,<null>
12,Rodolfo Marco,Abularach,Birth or Maiden Name,<null>,<null>
13,Maurice Victor,Achener,Variant Name,<null>,<null>
14,Keith Anden,Achepohl,Birth or Maiden Name,<null>,<null>
15,Alice Stanley,Acheson,Married Name,<null>,<null>
15,Alice,Stanley,Birth or Maiden Name,<null>,<null>
15,Dean,Acheson,Married Name,Mrs.,<null>
15,Alice S.,Acheson,Married Name,<null>,<null>
17,William B.,Adair,Variant Name,<null>,<null>
18,Adal,Maldonado,Variant Name,<null>,<null>
18,Adal Alberto,Maldonado,Variant Name,<null>,<null>
19,Julius,"Adam, the Younger",Variant Name,<null>,<null>
20,Ansel Easton,Adams,Variant Name,<null>,<null>
21,Bert,Adams,Variant Name,<null>,<null>
21,Bertrand,Adams,Variant Name,<null>,<null>
23,Herbert Samuel,Adams,Birth or Maiden Name,<null>,<null>
24,Kenneth Miller,Adams,Birth or Maiden Name,<null>,<null>
24,Kenneth,Adams,Variant Name,<null>,<null>
27,Robert Hickman,Adams,Birth or Maiden Name,<null>,<null>
28,Shelby,Adams,Variant Name,<null>,<null>
29,Clifford Isaac,Addams,Variant Name,<null>,<null>
32,Samuel Marcus,Adler,Birth or Maiden Name,<null>,<null>
32,Samuel M.,Adler,Variant Name,<null>,<null>
34,Alfred Thomas,Agate,Birth or Maiden Name,<null>,<null>
34,Alfred,Agate,Variant Name,<null>,<null>
37,Marcel,Sembat,Married Name,Mme.,<null>
38,George,Aid,Variant Name,<null>,<null>
38,George C.,Aid,Variant Name,<null>,<null>
39,Jessie Aitchison,Walker,Variant Name,<null>,<null>
39,Jessie A.,Walker,Married Name,Mrs.,<null>
39,J. A.,Walker,Variant Name,<null>,<null>
40,Robert Ingersoll,Aitken,Birth or Maiden Name,<null>,<null>
40,Robert I.,Aitken,Variant Name,<null>,<null>
41,Ibrahim Mahfoud,Ajay,Birth or Maiden Name,<null>,<null>
43,James,Akin,Married Name,Mrs.,<null>
43,<null>,Akin,Married Name,Mrs.,<null>
43,James,Aitken,Married Name,Mrs.,<null>
43,<null>,Aitken,Married Name,Mrs.,<null>
44,Grace Thurston Arnold,Albee,Variant Name,<null>,<null>
44,Grace Arnold,Albee,Variant Name,<null>,<null>
45,Annelise,Fleischmann,Birth or Maiden Name,<null>,<null>
46,Joseph,Albers,Variant Name,<null>,<null>
49,<null>,Albert Francis Charles Augustus Emmanuel,Variant Name,Prince,<null>
49,<null>,"Albert, Prince Consort of Victoria, Queen of Great Britain",Variant Name,<null>,<null>
50,Ernest Dewey,Albinson,Birth or Maiden Name,<null>,<null>
50,Dewey,Albinson,Variant Name,<null>,<null>
51,Al,Albrektson,Variant Name,<null>,<null>
51,Evald J.,Albrektson,Variant Name,<null>,<null>
52,Ivan Le Lorraine,Albright,Birth or Maiden Name,<null>,<null>
53,Alfred L.,Copley,Birth or Maiden Name,<null>,<null>
53,L.,Alcopley,Variant Name,<null>,<null>
53,Lewin,Alcopley,Variant Name,<null>,<null>
53,Alfred Lewin,Copley,Birth or Maiden Name,<null>,<null>
55,John W.,Alexander,Variant Name,<null>,<null>
57,James Gilbert,Alinder,Birth or Maiden Name,<null>,<null>
57,James,Alinder,Variant Name,<null>,<null>
59,Christine Hilkka,Rinne,Variant Name,<null>,<null>
60,Frederick W.,Allen,Variant Name,<null>,<null>
60,Frederic Warren,Allen,Variant Name,<null>,<null>
61,James B.,Allen,Variant Name,<null>,<null>
61,James Baylie,Allen,Variant Name,<null>,<null>
62,James,Allen,Variant Name,<null>,<null>
64,James Junius,Allen,Birth or Maiden Name,<null>,<null>
66,Walter H.,Allner,Variant Name,<null>,<null>
66,Walter Heinz,Allner,Birth or Maiden Name,<null>,<null>
66,Heinz,Allner,Variant Name,<null>,<null>
67,Patricia Allott,Silbert,Married Name,<null>,<null>
68,Jan van,Almeloven,Variant Name,<null>,<null>
70,Arturo,Pacheco Altamirano,Variant Name,<null>,<null>
77,Edmond,Aman-Jean,Variant Name,<null>,<null>
77,Edmund,Aman-Jean,Variant Name,<null>,<null>
78,Alvin Eli,Amason,Birth or Maiden Name,<null>,<null>
79,Edmond Romulus,Amateis,Birth or Maiden Name,<null>,<null>
79,Edmond R.,Amateis,Variant Name,<null>,<null>
79,Edmund R.,Amateis,Variant Name,<null>,<null>
83,Arthur Forbes,Ames,Birth or Maiden Name,<null>,<null>
88,Emma Amos,Levine,Variant Name,<null>,<null>
90,Mary Andersen,Clark,Variant Name,<null>,<null>
90,Mary,Anderson,Variant Name,<null>,<null>
90,Mary Anderson,Clark,Variant Name,<null>,<null>
91,Alexander,Anderson,Variant Name,Dr.,<null>
93,Carlos,Andreson,Variant Name,<null>,<null>
93,Carlos J.,Anderson,Variant Name,<null>,<null>
94,Guy Irving,Anderson,Variant Name,<null>,<null>
95,Jeremy Radcliffe,Anderson,Birth or Maiden Name,<null>,<null>
95,Jeremy R.,Anderson,Variant Name,<null>,<null>
98,Alfred Charles Stanley,Anderson,Birth or Maiden Name,<null>,<null>
99,Walter Inglis,Anderson,Birth or Maiden Name,<null>,<null>
101,Eliphalet F.,Andrews,Variant Name,<null>,<null>
102,Robert,Andrews,Variant Name,<null>,<null>
102,J. Robert,Andrews,Variant Name,Dr.,<null>
105,Vera Eugenia,Andrus,Variant Name,<null>,<null>
106,Milton,Douthat,Variant Name,Mrs.,<null>
108,Boris Israelevich,Anisfeld,Variant Name,<null>,<null>
108,Boris,Anisfeld,Variant Name,<null>,<null>
108,Boris Izrailevic,Anisfel'd,Variant Name,<null>,<null>
109,Thomas Pollock,Anshutz,Birth or Maiden Name,<null>,<null>
109,Thomas P.,Anshutz,Variant Name,<null>,<null>
110,William Graham,Anthony,Birth or Maiden Name,<null>,<null>
111,Stephanos,Antonakos,Birth or Maiden Name,<null>,<null>
113,Garo Zareh,Antreasian,Birth or Maiden Name,<null>,<null>
113,Garo Z.,Antreasian,Variant Name,<null>,<null>
114,Richard Joseph,Anuszkiewicz,Birth or Maiden Name,<null>,<null>
116,Christian Karel,Appel,Birth or Maiden Name,<null>,<null>
117,Austin,Mecklem,Married Name,Mrs.,<null>
117,M. A.,Mecklem,Married Name,Mrs.,<null>
